Nodes;Addjested Nodes
392979038;{1278126164,1283717781,1371536642,1371536617,}
392979043;{1746555762,1190852004,1193385333,1191259826,}
392979046;{1191259820,1746555785,1746665091,1300929934,}
392979048;{392979053,1300929934,}
392979053;{392979048,1256703666,1300929994,392979057,1300929934,}
392979057;{392979053,1300929962,1290610806,}
392979060;{1295703884,1295703810,}
392979070;{1353396936,1353396938,}
392979071;{1353396938,253545,392978994,1239938044,}
392979072;{392979075,392979073,}
392979073;{392979072,392979078,}
392979074;{1424980010,392979075,}
392979075;{392979074,392979072,}
392979076;{392979078,392979077,}
392979077;{392979076,392979082,}
392979078;{392979073,392979076,}
392979080;{392979083,392979081,}
392979081;{392979080,392979085,}
392979082;{392979077,392979083,1424980028,}
392979083;{392979082,392979080,}
392979084;{392979085,392978917,1424980085,}
392979085;{392979081,392979084,}
392979089;{392979388,2917020003,}
392979092;{4330041728,470938783,2881605322,}
392979095;{392989892,3088881801,2917020024,2422482209,}
392979099;{2917020019,2917020011,}
392979109;{1736446142,1735983082,}
392979114;{1293805377,1720973872,2322729966,1720973893,}
392979129;{392979132,1355370980,}
392979131;{1293906252,392979132,}
392979132;{392979131,392979129,}
392979133;{1293906252,}
392979136;{392979138,392979137,}
392979137;{392979136,392979029,}
392979138;{392979136,}
392979140;{392979141,1353397025,5407909203,}
392979141;{1355370980,392979140,}
392979143;{2333008746,611278698,611278771,3271078263,}
392979149;{1900216081,1293906518,}
392979151;{1746555775,444669634,1191259803,}
392979153;{1746665093,1300929962,4252223938,}
392979202;{392979216,392979204,}
392979204;{392979202,392979209,}
392979209;{392979204,392979210,}
392979210;{392979209,392979254,}
392979212;{392979220,392979213,}
392979213;{392979212,392979215,}
392979215;{392979213,392979216,}
392979216;{392979215,392979202,}
392979220;{392979212,}
392979222;{1424980043,392978930,1272684828,}
392979229;{392979236,392979239,}
392979236;{392979244,392979229,}
392979237;{392979239,392979284,}
392979239;{392979229,392979237,}
392979241;{392979242,392979246,}
392979242;{392979251,392979241,}
392979244;{392979246,392979236,}
392979246;{392979241,392979244,}
392979248;{392979249,392979252,}
392979249;{392979255,392979248,}
392979251;{392979252,392979242,}
392979252;{392979248,392979251,}
392979253;{392979254,392979262,}
392979254;{392979210,392979253,}
392979255;{392979262,392979249,}
392979262;{392979253,392979255,}
392979264;{1295703883,1295703929,}
392979267;{392979269,392979306,392979302,}
392979269;{392979274,392979267,}
392979272;{392979276,392979274,}
392979274;{392979272,392979269,}
392979276;{392979272,392980481,}
392979277;{392979282,392979279,}
392979279;{392979277,392979297,392979302,}
392979281;{392979290,392979282,}
392979282;{392979281,392979277,}
